Time,GPU_Usage
1686584907.568956,0
1686584908.576989,0
1686584909.5799327,1
1686584910.5824635,39
1686584911.5852478,44
1686584912.5977817,15
1686584913.6194456,21
1686584914.6305044,17
1686584915.6342332,41
1686584916.6370063,41
1686584917.6401124,32
1686584918.6427975,38
1686584919.6456532,40
1686584920.652793,35
1686584921.6554654,30
1686584922.658038,41
1686584923.6604545,24
1686584924.6635237,27
1686584925.665888,38
1686584926.668546,45
1686584927.6718824,30
1686584928.6737866,28
1686584929.6769123,43
1686584930.6925719,27
1686584931.701924,25
1686584932.7039475,26
1686584933.7080538,27
1686584934.7107165,38
1686584935.7133224,40
1686584936.7156985,35
1686584937.7183504,37
1686584938.721257,37
1686584939.7240741,40
1686584940.7262304,36
1686584941.7296922,40
1686584942.733508,30
1686584943.735407,38
1686584944.740881,42
1686584945.7438755,35
1686584946.7485843,37
1686584947.7517228,32
1686584948.7540379,40
1686584949.7568383,42
1686584950.7601316,32
1686584951.764975,45
1686584952.7683215,46
1686584953.7707121,42
1686584954.7820365,41
1686584955.7867982,40
1686584956.7896628,41
1686584957.7927492,42
1686584958.7955327,24
1686584959.7982717,41
1686584960.8010776,29
